tipo,n_cliente,num_cliente,num_cuenta,num_tarjeta,saldo,imp_credito,mon_credito,fecha_apertura,fecha_pago,fecha_dep,fecha_ven,fecha_corte,num_sucursal,estado,correo,telefono,rfc_empresa,n_empresa
CuentaD,Darby Hanton,1,4317,,391.67,,,31-07-2025,,,,31-12-2026,2,Jalisco,dhanton0@infoseek.co.jp,8703810611,,
CuentaD,Ester Hunnybun,2,4425,,1430.98,,,20-11-2025,,,,31-12-2026,6,Tlaxcala,ehunnybun1@apache.org,4562981667,,
CuentaD,Ula Rominov,3,2658,,9989.79,,,13-12-2025,,,,31-12-2026,2,Jalisco,urominov2@goo.ne.jp,1915841855,,
CuentaN,Grady Botfield,4,4669,,1722.87,,,23-08-2025,,29-11-2025,,,4,Guerrero,gbotfield3@amazonaws.com,5646568177,ZAZQ099590KMJ,Demizz
CuentaN,Kearney Quartly,5,4776,,1640.65,,,18-01-2025,,07-05-2025,,,3,Puebla,kquartly4@boston.com,8393082683,HPPX247614NKJ,Twinder
CuentaC,Evonne Clawley,6,,3093,,308.07,133,29-07-2025,23-10-2026,,31-12-2026,,2,Jalisco,eclawley5@dedecms.com,1988066505,,
CuentaD,Konstantin Bunson,7,3234,,9094.17,,,24-02-2025,,,,31-12-2026,2,Jalisco,kbunson6@google.ru,7522366789,,
CuentaC,Mattheus Gallaccio,8,,1706,,9121.77,3477.98,10-03-2025,19-07-2026,,31-12-2026,,6,Tlaxcala,mgallaccio7@businesswire.com,7598249971,,
CuentaN,Gypsy LAbbet,9,1138,,7446.84,,,26-05-2025,,18-11-2025,,,4,Guerrero,glabbet8@cnet.com,1543997564,GNER028555BON,Yamia
CuentaD,Andreana Attwood,10,3451,,6922.89,,,02-02-2025,,,,31-12-2026,5,Morelos,aattwood9@is.gd,2873473603,,
CuentaN,Brennen Lemmen,11,2226,,5071.73,,,09-04-2025,,03-08-2025,,,1,Hidalgo,blemmena@pcworld.com,2418940830,AQVC714395DBT,Fiveclub
CuentaN,Lorin Adamkiewicz,12,2600,,4123.77,,,23-04-2025,,03-11-2025,,,1,Hidalgo,ladamkiewiczb@state.gov,6719561422,RPMT356537WQP,Kimia
CuentaD,Belita O'Kane,13,1801,,1524.5,,,29-10-2025,,,,31-12-2026,1,Hidalgo,bokanec@businessweek.com,6695844042,,
CuentaD,Elysha Greest,14,4178,,8409.41,,,10-07-2025,,,,31-12-2026,1,Hidalgo,egreestd@typepad.com,1132070008,,
CuentaC,Donnie McKeney,15,,4877,,4942.87,1075,13-06-2025,22-04-2026,,31-12-2026,,2,Jalisco,dmckeneye@freewebs.com,7153007848,,
CuentaD,Susette Winnett,16,3843,,7311.67,,,21-04-2025,,,,31-12-2026,3,Puebla,swinnettf@yale.edu,6416456933,,
CuentaD,Marris Simenot,17,4103,,2469.6,,,13-10-2025,,,,31-12-2026,3,Puebla,msimenotg@cnbc.com,9232804610,,
CuentaC,Deeyn Corsham,18,,2692,,3074.83,608.32,06-04-2025,30-12-2026,,31-12-2026,,3,Puebla,dcorshamh@pen.io,1277544487,,
CuentaN,Elita Arrigucci,19,956,,1772.18,,,09-04-2025,,17-02-2025,,,3,Puebla,earriguccii@amazon.co.jp,9174896936,SBMY412274GXV,Voolia
CuentaC,Haily Dumpleton,20,,5994,,2932.05,181,23-01-2025,10-01-2026,,31-12-2026,,2,Jalisco,hdumpletonj@mozilla.org,6028655381,,
CuentaN,Estrella Bisp,21,3679,,7045.15,,,24-12-2025,,10-08-2025,,,2,Jalisco,ebispk@virginia.edu,4121925597,QKDD543249OIE,Kazio
CuentaD,Lori Sarney,22,1631,,9507.15,,,29-04-2025,,,,31-12-2026,3,Puebla,lsarneyl@zdnet.com,8211020171,,
CuentaD,Lian Blanking,23,3521,,4026.14,,,21-03-2025,,,,31-12-2026,5,Morelos,lblankingm@rakuten.co.jp,3936868259,,
CuentaD,Brady Mulford,24,3540,,5474.42,,,22-01-2025,,,,31-12-2026,6,Tlaxcala,bmulfordn@yahoo.com,5296081571,,
CuentaD,Coletta Dowden,25,1204,,2144.2,,,09-02-2025,,,,31-12-2026,4,Guerrero,cdowdeno@networkadvertising.org,8554848834,,
CuentaD,Shaine Honack,26,3059,,7740.24,,,13-12-2025,,,,31-12-2026,4,Guerrero,shonackp@skyrock.com,8225883626,,
CuentaC,Jarid Lowle,27,,7751,,2056.75,575,16-04-2025,04-10-2026,,31-12-2026,,2,Jalisco,jlowleq@gnu.org,8974736498,,
CuentaC,Drew Tuffs,28,,7551,,706.87,633,06-09-2025,24-02-2026,,31-12-2026,,5,Morelos,dtuffsr@cam.ac.uk,9537651003,,
CuentaN,Darell Osband,29,492,,1851.6,,,08-02-2025,,25-11-2025,,,4,Guerrero,dosbands@trellian.com,4899560614,ITOL756021PCF,Blogpad
CuentaN,Rudolf Brann,30,405,,4734.04,,,08-06-2025,,10-04-2025,,,4,Guerrero,rbrannt@geocities.com,3528176818,PQKO873934CDI,Devbug
CuentaC,Pansie Lettuce,31,,3936,,5490.23,1348.8,18-03-2025,03-07-2026,,31-12-2026,,1,Hidalgo,plettuceu@webmd.com,5166620295,,
CuentaC,Gib Grote,32,,7966,,1406.11,1329,06-01-2025,30-12-2026,,31-12-2026,,3,Puebla,ggrotev@is.gd,4895991247,,
CuentaN,Beauregard Trayling,33,1854,,2058.55,,,01-09-2025,,24-01-2025,,,1,Hidalgo,btraylingw@census.gov,2103658050,DWRZ309158VWV,Trudoo
CuentaC,Inglis Coulter,34,,1622,,6343.16,2846,03-04-2025,06-05-2026,,31-12-2026,,5,Morelos,icoulterx@123-reg.co.uk,4002909152,,
CuentaD,Kattie McIntee,35,1002,,1271.59,,,12-01-2025,,,,31-12-2026,6,Tlaxcala,kmcinteey@addthis.com,7021862305,,
CuentaN,Dag Fossord,36,3712,,140.34,,,23-10-2025,,31-05-2025,,,5,Morelos,dfossordz@buzzfeed.com,3805328118,EMKK985380GFH,Devpoint
CuentaN,Becca Lydford,37,4388,,1299.79,,,12-10-2025,,10-12-2025,,,3,Puebla,blydford10@sakura.ne.jp,9797271814,ZLKV605344XGX,Zoomcast
CuentaN,Hakim Dootson,38,4106,,5376.34,,,13-04-2025,,20-11-2025,,,4,Guerrero,hdootson11@arstechnica.com,9255364714,ATUA800223MWJ,Jaxworks
CuentaD,Lucio Bancroft,39,669,,8298.72,,,11-10-2025,,,,31-12-2026,4,Guerrero,lbancroft12@earthlink.net,4994631366,,
CuentaD,Leland Beaudry,40,486,,8661.78,,,23-06-2025,,,,31-12-2026,3,Puebla,lbeaudry13@mapy.cz,8703758928,,
CuentaN,Chrysler Van den Velde,41,4878,,9730.54,,,02-11-2025,,29-07-2025,,,3,Puebla,cvan14@ebay.co.uk,5818314925,DNWL513556PQN,Jabbercube
CuentaD,Catlee Petti,42,1535,,6790.2,,,08-08-2025,,,,31-12-2026,3,Puebla,cpetti15@mayoclinic.com,8715326382,,
CuentaC,Lionello Hamments,43,,3719,,4124.81,1398.48,14-09-2025,09-09-2026,,31-12-2026,,5,Morelos,lhamments16@dagondesign.com,9738577434,,
CuentaN,Jemimah Arlt,44,4360,,6409.66,,,09-06-2025,,02-07-2025,,,6,Tlaxcala,jarlt17@google.co.jp,6262207583,LQPB615036LJC,Cogibox
CuentaN,Iain Gummie,45,1209,,7618.74,,,13-10-2025,,01-10-2025,,,6,Tlaxcala,igummie18@springer.com,6563771269,JVHI307623CYG,Plajo
CuentaD,Barbara Garlette,46,637,,9294.58,,,12-05-2025,,,,31-12-2026,6,Tlaxcala,bgarlette19@bandcamp.com,3126806524,,
CuentaD,Lothaire Clout,47,4029,,6032.29,,,03-02-2025,,,,31-12-2026,5,Morelos,lclout1a@noaa.gov,7594832951,,
CuentaN,Janey Kliner,48,2904,,1417.02,,,06-11-2025,,21-02-2025,,,5,Morelos,jkliner1b@istockphoto.com,7202543441,XOSR368888MGC,Jabbercube
CuentaD,Marlon Deaconson,49,1743,,328.06,,,11-04-2025,,,,31-12-2026,4,Guerrero,mdeaconson1c@devhub.com,9176494999,,
CuentaC,Elfreda Buntine,50,,4365,,8580.41,819.21,31-03-2025,24-12-2026,,31-12-2026,,2,Jalisco,ebuntine1d@meetup.com,7311244724,,
CuentaN,Carlee Durno,51,907,,878.93,,,20-05-2025,,15-06-2025,,,1,Hidalgo,cdurno1e@wordpress.com,5891595633,YLEY357048KFC,Oloo
CuentaN,Lian Mingey,52,546,,3981.51,,,31-03-2025,,30-12-2025,,,4,Guerrero,lmingey1f@deliciousdays.com,1375501047,FLWQ818760RTR,Skyble
CuentaD,Wells Karolewski,53,3809,,9071.47,,,19-05-2025,,,,31-12-2026,4,Guerrero,wkarolewski1g@surveymonkey.com,6123994284,,
CuentaD,Zackariah Drinkwater,54,2024,,1882.08,,,04-11-2025,,,,31-12-2026,4,Guerrero,zdrinkwater1h@wordpress.com,2972369447,,
CuentaC,Candy McComas,55,,8008,,3993.55,2309,17-03-2025,12-03-2026,,31-12-2026,,3,Puebla,cmccomas1i@cnbc.com,2008717181,,
CuentaN,Vivian Povall,56,3447,,516.96,,,01-08-2025,,08-09-2025,,,5,Morelos,vpovall1j@drupal.org,4036788671,SYHM339607PAZ,Blognation
CuentaD,Loleta Cornils,57,4282,,625.47,,,13-10-2025,,,,31-12-2026,4,Guerrero,lcornils1k@google.nl,4043073155,,
