num_empleado,rfc,n_empleado,fecha_nac,direccion,telefono,sueldo_m
1,WTKV176712MRV,Lynnett Mayhead,12-05-1985,9278 Westridge Alley,5276559359,8527.69
2,NERK228343TZB,Tiffie Pinnion,19-11-2000,5 Springview Junction,5303476077,18976.06
3,XTDL932932RDK,Ernesto Ipsgrave,05-10-1994,37517 American Drive,2051520708,24839.35
4,OFJU989217NDX,Conny Beech,30-01-1977,676 Goodland Place,6575417280,24628.25
5,NLAZ549086VLW,Eugenius Buckham,28-06-1961,73853 Upham Crossing,1157281432,21505.4
6,WZGC175426GMV,Ginevra Lehemann,07-07-1965,5482 Dayton Place,6747456104,18569.21
7,IQZD498505PRM,Neala Vispo,22-11-1981,95 Stang Street,8816436840,16733.85
8,XDNB172094TVH,Sonia Skudder,31-03-1957,113 Shelley Park,9897897437,24756.85
9,WQJP957998GHJ,Gloriane Kobpal,15-08-1933,05418 Ramsey Drive,6118550167,18511.74
10,XIVN125062BQL,Gwenette Mudd,25-10-1953,8 Springs Trail,2626600311,8539.07
11,LJMA431664JGT,Jaymie MacDonough,11-10-1976,41 Schurz Hill,4512595818,14460.61
12,CODM044720RIF,Matelda Crone,26-03-1989,0 Sommers Drive,4552592617,10874.91
13,MZUI849474YLG,Jordain Belfrage,10-05-1958,09 Carioca Street,8149630712,18735.54
14,LCMP057450WWS,Cami Goude,23-04-1961,47 Packers Circle,6352113732,23467.22
15,XFLW143542RRD,Deeyn Tarling,27-03-1983,6147 Elgar Road,7028149457,8003.68
16,EUOU889631RPQ,Marv McBride,18-08-1965,4289 Mccormick Place,9392157361,16063.34
17,TWSX325275NOZ,Jewelle Repp,18-12-1958,17821 Union Place,8947236886,10687.24
18,BHHQ253102QNK,Kirstin Riddles,13-05-1941,41 Forster Junction,1116772091,16475.81
19,TQCG737400CWI,Ranique Coweuppe,15-02-1956,773 Huxley Road,5286443621,24983.15
20,KIYS775046QGA,Rosalie Lissett,27-08-1940,1 Main Pass,6879936367,22712.02
21,JOWR528075LVO,Mick Shackle,18-09-1932,1454 Debra Way,5945543213,20981.49
22,SBJA151757FDE,Casi Castellan,20-07-1953,1 Carey Point,6027655580,15876.49
23,JISF673575OUX,Renado Scrancher,08-03-1937,815 Hoepker Park,9875324770,14347.61
24,MYYB583172MZP,Amanda Padly,28-07-1971,8698 Sycamore Point,2956861550,13535.25
25,XTPB290028MUU,Levy Anneslie,12-04-1999,90 Summit Parkway,5413617963,14233.51
26,YGJM842198UMF,Phebe Andrus,24-04-1993,1057 Schiller Street,4772781724,8144.59
27,VTCQ100939SNE,May Gabbatt,07-03-1985,2 Lindbergh Drive,2273917163,9873.24
28,IHXZ540746IVP,Daryl Mulqueen,21-07-1947,82 Holy Cross Parkway,5767014590,21389.19
29,FUEM970586ODG,Bone Berling,05-01-1989,61 Melby Terrace,3706584680,12762.37
30,KTEP606371XRC,Pamelina Simonini,01-09-2001,76812 Bartillon Pass,5714534802,18149.13
31,GDML036743VIM,Genvieve Juden,31-08-1955,2 1st Avenue,8001456761,8504.72
32,XSZN950126SML,Heinrick Dagworthy,01-10-1958,0 Florence Terrace,9501272494,18815.72
33,GSSU116792ZJT,Tiebout Barehead,30-03-1975,970 Summer Ridge Hill,6205641035,10376.75
34,MUHL483539RYY,Tana Bayns,19-05-1963,6 Erie Terrace,7861072276,22134.78
35,KSQB458477GZW,Bronson Lanfer,09-08-1947,1 Rutledge Alley,8152817643,10658.73
36,CBBA931569QGJ,Marmaduke Folds,26-08-1999,2 Fuller Junction,5815527489,12366.31
37,PPSI977625ELN,Norry Brogini,11-02-1927,672 Caliangt Alley,8603530725,17967.51
38,ZFLK272339RNN,Coral Blessed,02-06-1993,3426 Fairview Pass,5583144545,14387.7
39,QVFG403258YTH,Clemente Westcarr,08-07-1992,88426 Marcy Plaza,8109056069,16827.51
40,BPVQ173145QAM,Jessee Treby,13-11-2002,62 Gale Pass,1127732416,21448.41
41,ISXW911543ZXX,Ximenes Spinelli,27-08-1945,65 New Castle Street,5347807863,19515.26
42,IAVE807806QTS,Alwyn Visco,21-08-1941,11 Hauk Circle,8382406708,11662.86
43,XNOK610177ASF,Brandi Davydzenko,23-12-1965,1 Clyde Gallagher Avenue,9405908792,11764.06
44,FKVI645533EYK,Nicolina Taig,31-12-2005,67 Killdeer Park,2936457031,20080.91
45,AAQI774966OIU,Waldemar Grimme,18-08-1992,72 Farwell Road,3652226137,8521.59
46,DNQZ449661LFV,Jenelle Blakeden,29-12-2003,2 Fieldstone Court,7231439010,15421.34
47,HBSD539567SBF,Gavan Ludmann,13-05-1952,7 Red Cloud Way,3211834464,17210.32
48,JLQT750614JQS,Jenna Wadforth,05-01-1927,9 Kensington Trail,7017006374,21705.15
49,HJVI452211SEN,Loy Talton,25-07-1949,8 Dennis Court,4117455413,20752.92
50,LIVH648403TMN,Irvin Vlasin,18-12-1961,63 Bayside Alley,8138568559,10033.98
51,IDOL962637WPK,Teriann Bryenton,29-09-1957,9 Marcy Road,5754644668,15113.02
